date,energy_mwh,fuel,percentage
2020-11-30T00:00:00Z,32323,ΛΙΓΝΙΤΗΣ,0.24322209262951955
2020-11-30T00:00:00Z,65559,ΑΕΡΙΟ,0.49331427066481054
2020-11-30T00:00:00Z,10628,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0799729109447308
2020-11-30T00:00:00Z,14026,ΑΙΟΛΙΚΑ,0.10554196922382332
2020-11-30T00:00:00Z,10359,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.07794875653711576
2020-11-30T00:00:00Z,132895,ΣΥΝΟΛΟ,0.9999999999999999
2020-12-01T00:00:00Z,36927,ΛΙΓΝΙΤΗΣ,0.258
2020-12-01T00:00:00Z,69816,ΑΕΡΙΟ,0.489
2020-12-01T00:00:00Z,12818,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.089
2020-12-01T00:00:00Z,25423,ΑΙΟΛΙΚΑ,0.178
2020-12-01T00:00:00Z,-2280,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.01
2020-12-01T00:00:00Z,142704,ΣΥΝΟΛΟ,1.004
2020-12-02T00:00:00Z,38536,ΛΙΓΝΙΤΗΣ,0.2679385916119702
2020-12-02T00:00:00Z,66126,ΑΕΡΙΟ,0.45977027478028704
2020-12-02T00:00:00Z,18387,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.12784375347647126
2020-12-02T00:00:00Z,11039,ΑΙΟΛΙΚΑ,0.07675353209478251
2020-12-02T00:00:00Z,9736,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.06769384803648905
2020-12-02T00:00:00Z,143824,ΣΥΝΟΛΟ,1.0000000000000002
2020-12-03T00:00:00Z,40669,ΛΙΓΝΙΤΗΣ,0.2884223963689231
2020-12-03T00:00:00Z,59065,ΑΕΡΙΟ,0.4188858551115209
2020-12-03T00:00:00Z,12454,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.08832310910960604
2020-12-03T00:00:00Z,18490,ΑΙΟΛΙΚΑ,0.1311301017694408
2020-12-03T00:00:00Z,10327,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.07323853764050921
2020-12-03T00:00:00Z,141005,ΣΥΝΟΛΟ,1.0
2020-12-04T00:00:00Z,35770,ΛΙΓΝΙΤΗΣ,0.26
2020-12-04T00:00:00Z,59030,ΑΕΡΙΟ,0.43
2020-12-04T00:00:00Z,7111,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.05
2020-12-04T00:00:00Z,20697,ΑΙΟΛΙΚΑ,0.15
2020-12-04T00:00:00Z,14607,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.11
2020-12-04T00:00:00Z,137215,ΣΥΝΟΛΟ,1.0
2020-12-05T00:00:00Z,32534,ΛΙΓΝΙΤΗΣ,0.25747275619465176
2020-12-05T00:00:00Z,59139,ΑΕΡΙΟ,0.46802364691078596
2020-12-05T00:00:00Z,3812,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.030168013358763523
2020-12-05T00:00:00Z,5385,ΑΙΟΛΙΚΑ,0.042616671546941653
2020-12-05T00:00:00Z,25489,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.20171891198885714
2020-12-05T00:00:00Z,126359,ΣΥΝΟΛΟ,1.0
2020-12-06T00:00:00Z,29704,ΛΙΓΝΙΤΗΣ,0.2534319622548141
2020-12-06T00:00:00Z,40811,ΑΕΡΙΟ,0.3481959268644364
2020-12-06T00:00:00Z,3263,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.02783963415154385
