date,energy_mwh
2020-11-30T00:00:00Z,534
2020-12-01T00:00:00Z,1443
2020-12-02T00:00:00Z,569
2020-12-03T00:00:00Z,509
2020-12-04T00:00:00Z,1078
2020-12-05T00:00:00Z,320
2020-12-06T00:00:00Z,527
2020-12-07T00:00:00Z,1172
2020-12-08T00:00:00Z,974
2020-12-09T00:00:00Z,822
2020-12-10T00:00:00Z,2432
2020-12-11T00:00:00Z,1559
2020-12-12T00:00:00Z,1467
2020-12-13T00:00:00Z,350
2020-12-14T00:00:00Z,1709
2020-12-15T00:00:00Z,2316
2020-12-16T00:00:00Z,1395
2020-12-17T00:00:00Z,499
2020-12-18T00:00:00Z,261
2020-12-19T00:00:00Z,316
2020-12-24T00:00:00Z,350
