area,date,local_authority_id,plot_number
2488716.166828805,2020-11-02T00:00:00Z,15149,254
12762.699994841369,2020-11-02T00:00:00Z,15177,9
2239407.5524692056,2020-11-02T00:00:00Z,16001,67
203540.9489830834,2020-11-02T00:00:00Z,16057,2
440513.61110063846,2020-11-02T00:00:00Z,17063,273
11141828.452290183,2020-11-02T00:00:00Z,18011,663
13138552.451629935,2020-11-02T00:00:00Z,18026,353
6787158.679315686,2020-11-02T00:00:00Z,18072,33
5812014.578714293,2020-11-02T00:00:00Z,18081,602
799438.1022057212,2020-11-02T00:00:00Z,18095,42
26921852.572903797,2020-11-02T00:00:00Z,19012,1138
180206.64362497418,2020-11-02T00:00:00Z,19018,4
1462647.1375144157,2020-11-02T00:00:00Z,19045,185
16713197.717847321,2020-11-02T00:00:00Z,19073,1053
26471871.6905788,2020-11-02T00:00:00Z,19123,2424
6501342.802437294,2020-11-02T00:00:00Z,20023,3990
10524031.641643392,2020-11-02T00:00:00Z,20119,12205
12489145.045745814,2020-11-02T00:00:00Z,20139,4243
6618161.844283167,2020-11-02T00:00:00Z,20285,2582
788921.9023938058,2020-11-02T00:00:00Z,21001,240
12972517.260296296,2020-11-02T00:00:00Z,21002,637
1577148.1400311205,2020-11-02T00:00:00Z,21012,472
16609902.952052519,2020-11-02T00:00:00Z,21018,1320
4990731.5446073655,2020-11-02T00:00:00Z,21019,129
46111.58336740959,2020-11-02T00:00:00Z,21025,42
31698458.34426927,2020-11-02T00:00:00Z,21027,2192
317011.8296605597,2020-11-02T00:00:00Z,21043,30
16200792.684664788,2020-11-02T00:00:00Z,21045,748
454874.2979821753,2020-11-02T00:00:00Z,21046,56
7171374.490363992,2020-11-02T00:00:00Z,21047,1108
4618150.165937219,2020-11-02T00:00:00Z,21053,381
6131254.302556934,2020-11-02T00:00:00Z,21056,734
295629.44881558575,2020-11-02T00:00:00Z,21067,184
3887001.1993137337,2020-11-02T00:00:00Z,23019,243
24006249.105069127,2020-11-02T00:00:00Z,23025,3714
8246403.315231442,2020-11-02T00:00:00Z,23040,1627
1894778.3375080035,2020-11-02T00:00:00Z,1003,390
6087.255939240222,2020-11-02T00:00:00Z,1011,2
17167679.095021278,2020-11-02T00:00:00Z,1021,1788
944419.3746338608,2020-11-02T00:00:00Z,1058,100
20128061.660479154,2020-11-02T00:00:00Z,1072,1031
2548775.6170813236,2020-11-02T00:00:00Z,1120,658
361068.36764439853,2020-11-02T00:00:00Z,1125,36
87168262.77008681,2020-11-02T00:00:00Z,1131,1328
33329171.18446189,2020-11-02T00:00:00Z,1142,1460
3484.4757064204596,2020-11-02T00:00:00Z,1195,9
6045795.147274023,2020-11-02T00:00:00Z,1212,185
3314257.1810147683,2020-11-02T00:00:00Z,2021,156
3695045.037849568,2020-11-02T00:00:00Z,2049,2641
5396637.2149413815,2020-11-02T00:00:00Z,3027,812
10283719.070275186,2020-11-02T00:00:00Z,3144,2092
4172477.066358192,2020-11-02T00:00:00Z,3210,1067
4791766.695112157,2020-11-02T00:00:00Z,3225,1016
120995.17768775683,2020-11-02T00:00:00Z,4010,66
276222.9226155761,2020-11-02T00:00:00Z,4029,106
22022.848972987194,2020-11-02T00:00:00Z,4080,9
819213.2458590118,2020-11-02T00:00:00Z,5002,3
12553401.671144387,2020-11-02T00:00:00Z,5020,108
3934268.5129005867,2020-11-02T00:00:00Z,5022,50
1080948.1622810445,2020-11-02T00:00:00Z,5023,597
748906.9249113221,2020-11-02T00:00:00Z,5025,5
61669226.98615882,2020-11-02T00:00:00Z,5028,304
12488784.341660995,2020-11-02T00:00:00Z,5030,2920
3953105.7023188425,2020-11-02T00:00:00Z,5033,2567
2506603.514040926,2020-11-02T00:00:00Z,5034,515
4484723.352132966,2020-11-02T00:00:00Z,5036,46
2484632.6841286207,2020-11-02T00:00:00Z,5040,46
11067055.777281761,2020-11-02T00:00:00Z,5041,433
2915830.0935213766,2020-11-02T00:00:00Z,5053,5
3986835.7296963073,2020-11-02T00:00:00Z,5054,127
51402.29660453142,2020-11-02T00:00:00Z,5056,65
5036017.160019695,2020-11-02T00:00:00Z,5058,12
31624429.526886124,2020-11-02T00:00:00Z,5074,53
26210059.510734223,2020-11-02T00:00:00Z,5075,5556
17381456.160270594,2020-11-02T00:00:00Z,5087,1411
20747603.629369132,2020-11-02T00:00:00Z,5088,5928
9278023.878930971,2020-11-02T00:00:00Z,5111,4572
2503994.986777812,2020-11-02T00:00:00Z,5115,18
1112300.900250357,2020-11-02T00:00:00Z,5133,731
41982000.82005275,2020-11-02T00:00:00Z,5145,494
1209256.5305073783,2020-11-02T00:00:00Z,5148,4
7756248.779001486,2020-11-02T00:00:00Z,6167,96
4479931.65460201,2020-11-02T00:00:00Z,7036,558
11042065.466268394,2020-11-02T00:00:00Z,7055,1155
1365174.9808830738,2020-11-02T00:00:00Z,7057,104
90433.10469594094,2020-11-02T00:00:00Z,9002,20
17572009.495003574,2020-11-02T00:00:00Z,9014,1116
127266.66233916281,2020-11-02T00:00:00Z,9016,91
82289.96384091851,2020-11-02T00:00:00Z,9017,82
413026.06202993065,2020-11-02T00:00:00Z,9025,363
283155.6654305158,2020-11-02T00:00:00Z,9030,245
9743232.717737898,2020-11-02T00:00:00Z,10060,221
22859317.089593172,2020-11-02T00:00:00Z,10071,332
23201256.986758173,2020-11-02T00:00:00Z,11003,685
13438641.061853576,2020-11-02T00:00:00Z,11007,491
51350338.46925028,2020-11-02T00:00:00Z,11039,3049
23888821.12436176,2020-11-02T00:00:00Z,13031,396
49533.03495539201,2020-11-02T00:00:00Z,14012,4
2393498.432132227,2020-11-02T00:00:00Z,14014,82
1378431.3972322384,2020-11-02T00:00:00Z,14021,11
2892246.6245932407,2020-11-02T00:00:00Z,14022,356
305398.2303451783,2020-11-02T00:00:00Z,14040,221
1521167.7250387492,2020-11-02T00:00:00Z,15030,22
2870575.347950746,2020-11-02T00:00:00Z,15123,44
17969015.637111954,2020-11-02T00:00:00Z,15135,1091
4874742.292454806,2020-11-02T00:00:00Z,23051,727
974.3616227832459,2020-11-02T00:00:00Z,24046,23
1339720.7558414158,2020-11-02T00:00:00Z,24054,19
13328.306529913281,2020-11-02T00:00:00Z,25009,4
29724158.61387152,2020-11-02T00:00:00Z,25018,1482
848456.5997431354,2020-11-02T00:00:00Z,25072,119
2930573.6663667257,2020-11-02T00:00:00Z,26003,6
2308830.9667635667,2020-11-02T00:00:00Z,26010,24
3607623.5769955805,2020-11-02T00:00:00Z,26011,263
1600719.267766072,2020-11-02T00:00:00Z,26026,3
1450493.8361137712,2020-11-02T00:00:00Z,26048,59
10299320.115961881,2020-11-02T00:00:00Z,26059,177
2507697.4899028423,2020-11-02T00:00:00Z,26062,218
6767832.648630584,2020-11-02T00:00:00Z,26066,572
1919325.3227654472,2020-11-02T00:00:00Z,27093,14
4315.930199001173,2020-11-02T00:00:00Z,28016,5
1006.6580839294537,2020-11-02T00:00:00Z,28018,13
153.7924217686724,2020-11-02T00:00:00Z,28054,6
5846.364849004682,2020-11-02T00:00:00Z,28055,13
5911.981840832888,2020-11-02T00:00:00Z,28066,19
46070282.70805177,2020-11-02T00:00:00Z,29015,2350
18831367.062933464,2020-11-02T00:00:00Z,29018,518
90581.51799641931,2020-11-02T00:00:00Z,29024,1
2570745.4686617507,2020-11-02T00:00:00Z,29042,486
3470511.336128674,2020-11-02T00:00:00Z,29044,425
520436.5404794373,2020-11-02T00:00:00Z,29045,2
33506754.345422342,2020-11-02T00:00:00Z,29061,1557
82669231.7258622,2020-11-02T00:00:00Z,29082,2302
13952491.813803064,2020-11-02T00:00:00Z,29085,10
24980.348558213624,2020-11-02T00:00:00Z,29096,1
2286330.5118006277,2020-11-02T00:00:00Z,29098,515
429903.0076444203,2020-11-02T00:00:00Z,30008,6
2280174.1042899196,2020-11-02T00:00:00Z,30048,410
486489.3316008232,2020-11-02T00:00:00Z,30088,97
15719741.608373638,2020-11-02T00:00:00Z,30104,1247
114159.60097734151,2020-11-02T00:00:00Z,30115,5
39369381.964623295,2020-11-02T00:00:00Z,30128,6609
17641508.96592231,2020-11-02T00:00:00Z,31013,2412
25912767.30246658,2020-11-02T00:00:00Z,31018,20
39824949.163023405,2020-11-02T00:00:00Z,31152,9961
7607237.1536347745,2020-11-02T00:00:00Z,31154,2141
1292018.8037153473,2020-11-02T00:00:00Z,33009,269
1083040.7948993337,2020-11-02T00:00:00Z,33033,1118
4891671.741461516,2020-11-02T00:00:00Z,33045,562
1656278.0652537856,2020-11-02T00:00:00Z,33049,418
1050876.181778671,2020-11-02T00:00:00Z,33053,200
155027.84942624185,2020-11-02T00:00:00Z,33062,60
45673.251706865834,2020-11-02T00:00:00Z,33067,39
13844.041528860149,2020-11-02T00:00:00Z,33070,22
567.5745493281021,2020-11-02T00:00:00Z,33074,2
5930.461993604306,2020-11-02T00:00:00Z,34005,12
1001295.3044645487,2020-11-02T00:00:00Z,34019,103
3955.8188751861558,2020-11-02T00:00:00Z,34022,11
12469652.583401509,2020-11-02T00:00:00Z,34026,435
1689.6956534113015,2020-11-02T00:00:00Z,34031,3
16379.970590877732,2020-11-02T00:00:00Z,34033,9
129213097.52000834,2020-11-02T00:00:00Z,35014,10900
2270909.6233439874,2020-11-02T00:00:00Z,35071,82
19127104.324817576,2020-11-02T00:00:00Z,36074,1014
2869876.9434897653,2020-11-02T00:00:00Z,36088,86
35671244.98780871,2020-11-02T00:00:00Z,37009,2223
7575063.497983241,2020-11-02T00:00:00Z,37019,457
13229876.262989229,2020-11-02T00:00:00Z,38029,1750
13783.095544621476,2020-11-02T00:00:00Z,39031,1
3886095.1566800904,2020-11-02T00:00:00Z,39035,284
6806.711629056874,2020-11-02T00:00:00Z,40016,3
11829115.641681287,2020-11-02T00:00:00Z,40038,40
2468692.048706861,2020-11-02T00:00:00Z,40048,425
424918.5023289618,2020-11-02T00:00:00Z,40050,250
610965.3486644563,2020-11-02T00:00:00Z,40054,15
1896465.0786688994,2020-11-02T00:00:00Z,40058,30
774969.5501507841,2020-11-02T00:00:00Z,40061,37
1165469.0232116582,2020-11-02T00:00:00Z,41012,29
2127847.8507264666,2020-11-02T00:00:00Z,41026,801
790120.0473576192,2020-11-02T00:00:00Z,41050,213
7233282.109798756,2020-11-02T00:00:00Z,41082,645
7401785.9908718495,2020-11-02T00:00:00Z,41108,1028
3885168.1601187615,2020-11-02T00:00:00Z,41111,1267
1846.5168437046086,2020-11-02T00:00:00Z,41114,2
7973505.916676257,2020-11-02T00:00:00Z,41129,1457
64106520.79993046,2020-11-02T00:00:00Z,42022,5326
7350161.834918384,2020-11-02T00:00:00Z,44121,1676
2053141.1570605321,2020-11-02T00:00:00Z,45130,213
724433.1183429937,2020-11-02T00:00:00Z,46102,122
43020513.62118457,2020-11-02T00:00:00Z,47002,863
2918143.872892106,2020-11-02T00:00:00Z,47011,859
23007214.424736872,2020-11-02T00:00:00Z,47013,1285
714202.1305483596,2020-11-02T00:00:00Z,47022,48
14376482.637170644,2020-11-02T00:00:00Z,47031,1228
21387758.252849407,2020-11-02T00:00:00Z,47043,1654
14931853.184249789,2020-11-02T00:00:00Z,47046,651
8575453.678622331,2020-11-02T00:00:00Z,47070,414
218488.38463917348,2020-11-02T00:00:00Z,48003,49
562900.5013851374,2020-11-02T00:00:00Z,48004,100
18750207.697985902,2020-11-02T00:00:00Z,48009,152
3301578.4373876695,2020-11-02T00:00:00Z,48032,415
