category,indicator,value,year
General,Κύκλος Εργασιών (εκατ €),7145.1202671,2009
General, Έσοδα Σταθερής Τηλεφωνίας (εκατ €),2021.4545431000001,2009
General, Έσοδα Κινητής Τηλεφωνίας (εκατ €),3300.0,2009
General,Επενδύσεις (εκατ €),1046.7942950000001,2009
General,Αριθμός Εργαζομένων,19596.0,2009
Landlines,Συνδέσεις ,5248751.0,2009
Landlines,Συνολική εξερχόμενη Κίνηση (εκατ λεπτά),21737.231367,2009
Landlines,Μέσο Έσοδο (ARPU),385.1305849906006,2009
Mobile,Συνδέσεις  (εκατ),20.298102,2009
Mobile,Συνδέσεις Συμβολαίου (εκατ),4.583091,2009
Mobile,Συνδέσεις Καρτοκινητής (εκατ),15.715011,2009
Mobile,Ενεργές Συνδέσεις (εκατ),13.295093,2009
Mobile,Συνολική εξερχόμενη Κίνηση (εκατ λεπτά),24521.017323903972,2009
Mobile,Εσωτερική Κίνηση (εκατ λεπτά),15700.0,2009
Mobile,Αριθμός SMS (εκατ),7807.521941000001,2009
Mobile,Αριθμός MMS (εκατ),29.301143592299997,2009
Mobile,Συνολικός όγκος δεδομένων (σε ΜΒ),4186436175.852091,2009
Mobile,Μέσο Έσοδο (ARPU),221.850665780679,2009
Βroadband,Σταθερές,1916630.0,2009
Βroadband,Κινητές,,2009
Βroadband_Penetration,ΕΕ,0.24754972168500552,2009
Βroadband_Penetration,Ελλάδα,0.17137991307921407,2009
Βroadband_Speeds,≤ 24Mbps,1837104.0,2009
Βroadband_Speeds,> 24 Mbps,,2009
General,Κύκλος Εργασιών (εκατ €),6325.012550140001,2010
General, Έσοδα Σταθερής Τηλεφωνίας (εκατ €),1916.36665406,2010
General, Έσοδα Κινητής Τηλεφωνίας (εκατ €),2993.8,2010
General,Επενδύσεις (εκατ €),830.1382825999995,2010
General,Αριθμός Εργαζομένων,19484.0,2010
Landlines,Συνδέσεις ,5204039.0,2010
Landlines,Συνολική εξερχόμενη Κίνηση (εκατ λεπτά),20551.85226,2010
Landlines,Μέσο Έσοδο (ARPU),368.246020842657,2010
Mobile,Συνδέσεις  (εκατ),14.815705,2010
Mobile,Συνδέσεις Συμβολαίου (εκατ),4.509815,2010
Mobile,Συνδέσεις Καρτοκινητής (εκατ),10.30589,2010
Mobile,Ενεργές Συνδέσεις (εκατ),12.292716,2010
Mobile,Συνολική εξερχόμενη Κίνηση (εκατ λεπτά),27912.37489992729,2010
Mobile,Εσωτερική Κίνηση (εκατ λεπτά),19800.0,2010
Mobile,Αριθμός SMS (εκατ),9790.7954592216,2010
Mobile,Αριθμός MMS (εκατ),29.011832876565155,2010
Mobile,Συνολικός όγκος δεδομένων (σε ΜΒ),7757850371.698082,2010
Mobile,Μέσο Έσοδο (ARPU),200.8842570303694,2010
Βroadband,Σταθερές,2252653.0,2010
Βroadband,Κινητές,,2010
Βroadband_Penetration,ΕΕ,0.263789944161875,2010
Βroadband_Penetration,Ελλάδα,0.20251493429342415,2010
Βroadband_Speeds,≤ 24Mbps,2303228.0,2010
Βroadband_Speeds,> 24 Mbps,,2010
General,Κύκλος Εργασιών (εκατ €),5763.13443776,2011
General, Έσοδα Σταθερής Τηλεφωνίας (εκατ €),1807.67102038,2011
General, Έσοδα Κινητής Τηλεφωνίας (εκατ €),2580.7,2011
General,Επενδύσεις (εκατ €),728.3155865300009,2011
General,Αριθμός Εργαζομένων,18970.0,2011
Landlines,Συνδέσεις ,5075310.0,2011
Landlines,Συνολική εξερχόμενη Κίνηση (εκατ λεπτά),19620.062353,2011
Landlines,Μέσο Έσοδο (ARPU),356.16957789376414,2011
Mobile,Συνδέσεις  (εκατ),14.557672,2011
Mobile,Συνδέσεις Συμβολαίου (εκατ),4.375606,2011
Mobile,Συνδέσεις Καρτοκινητής (εκατ),10.182066,2011
Mobile,Ενεργές Συνδέσεις (εκατ),12.127985,2011
Mobile,Συνολική εξερχόμενη Κίνηση (εκατ λεπτά),28671.163695091942,2011
Mobile,Εσωτερική Κίνηση (εκατ λεπτά),21100.0,2011
Mobile,Αριθμός SMS (εκατ),8528.433046,2011
Mobile,Αριθμός MMS (εκατ),24.892688562976776,2011
Mobile,Συνολικός όγκος δεδομένων (σε ΜΒ),9426142265.45231,2011
Mobile,Μέσο Έσοδο (ARPU),189.8905916916502,2011
Βroadband,Σταθερές,2464282.0,2011
Βroadband,Κινητές,,2011
Βroadband_Penetration,ΕΕ,0.27701053152043703,2011
Βroadband_Penetration,Ελλάδα,0.2215476460828943,2011
Βroadband_Speeds,≤ 24Mbps,2450361.0,2011
Βroadband_Speeds,> 24 Mbps,,2011
General,Κύκλος Εργασιών (εκατ €),5323.61096755,2012
General, Έσοδα Σταθερής Τηλεφωνίας (εκατ €),1669.1354395500002,2012
General, Έσοδα Κινητής Τηλεφωνίας (εκατ €),2423.6,2012
General,Επενδύσεις (εκατ €),547.8015239850048,2012
General,Αριθμός Εργαζομένων,16537.0,2012
Landlines,Συνδέσεις ,4908915.0,2012
