area,date,energy_mwh
ΚΡΗΤΗ,2020-08-09T00:00:00Z,9539.66
ΡΟΔΟΣ,2020-08-09T00:00:00Z,2442.9
ΛΕΣΒΟΣ,2020-08-09T00:00:00Z,878.29
ΚΩΣ - ΚΑΛΥΜΝΟΣ,2020-08-09T00:00:00Z,1241.6789999999999
ΧΙΟΣ ,2020-08-09T00:00:00Z,604.437
ΣΑΜΟΣ ,2020-08-09T00:00:00Z,383.346
ΘΗΡΑ,2020-08-09T00:00:00Z,680.887
ΛΗΜΝΟΣ,2020-08-09T00:00:00Z,208.30700000000002
ΜΗΛΟΣ,2020-08-09T00:00:00Z,182.80700000000002
ΚΑΡΠΑΘΟΣ,2020-08-09T00:00:00Z,129.322
ΙΚΑΡΙΑ,2020-08-09T00:00:00Z,105.499
ΣΙΦΝΟΣ,2020-08-09T00:00:00Z,93.67
ΠΑΤΜΟΣ,2020-08-09T00:00:00Z,76.64699999999999
ΣΚΥΡΟΣ,2020-08-09T00:00:00Z,65.87
ΣΥΜΗ,2020-08-09T00:00:00Z,45.718999999999994
ΑΜΟΡΓΟΣ,2020-08-09T00:00:00Z,46.271
ΣΕΡΙΦΟΣ,2020-08-09T00:00:00Z,50.167
ΚΥΘΝΟΣ,2020-08-09T00:00:00Z,48.442
ΑΣΤΥΠΑΛΑΙΑ,2020-08-09T00:00:00Z,32.395
ΜΕΓΙΣΤΗ,2020-08-09T00:00:00Z,13.647
ΑΝΑΦΗ,2020-08-09T00:00:00Z,8.147
ΑΓ ΕΥΣΤΡΑΤΙΟΣ,2020-08-09T00:00:00Z,4.632
ΕΡΕΙΚΟΥΣΑ ,2020-08-09T00:00:00Z,5.2170000000000005
ΟΘΩΝΟΙ,2020-08-09T00:00:00Z,2.815
ΔΟΝΟΥΣΑ,2020-08-09T00:00:00Z,6.069
ΑΓΑΘΟΝΗΣΙ,2020-08-09T00:00:00Z,2.983
ΓΑΥΔΟΣ,2020-08-09T00:00:00Z,2.065
ΑΡΚΙΟΙ,2020-08-09T00:00:00Z,2.129
ΑΝΤΙΚΥΘΗΡΑ,2020-08-09T00:00:00Z,1.214
ΚΡΗΤΗ,2020-08-10T00:00:00Z,10519.46
ΡΟΔΟΣ,2020-08-10T00:00:00Z,2665.0
ΛΕΣΒΟΣ,2020-08-10T00:00:00Z,944.128
ΚΩΣ - ΚΑΛΥΜΝΟΣ,2020-08-10T00:00:00Z,1294.365
ΧΙΟΣ,2020-08-10T00:00:00Z,636.03
ΣΑΜΟΣ,2020-08-10T00:00:00Z,389.175
ΘΗΡΑ,2020-08-10T00:00:00Z,702.0
ΛΗΜΝΟΣ,2020-08-10T00:00:00Z,216.475
ΜΗΛΟΣ,2020-08-10T00:00:00Z,205.47
ΚΑΡΠΑΘΟΣ,2020-08-10T00:00:00Z,132.752
ΙΚΑΡΙΑ,2020-08-10T00:00:00Z,107.10700000000001
ΣΙΦΝΟΣ,2020-08-10T00:00:00Z,93.398
ΠΑΤΜΟΣ,2020-08-10T00:00:00Z,78.521
ΣΚΥΡΟΣ,2020-08-10T00:00:00Z,63.59
ΣΥΜΗ,2020-08-10T00:00:00Z,49.51
ΑΜΟΡΓΟΣ,2020-08-10T00:00:00Z,48.32
ΣΕΡΙΦΟΣ,2020-08-10T00:00:00Z,49.068999999999996
ΚΥΘΝΟΣ,2020-08-10T00:00:00Z,45.369
ΑΣΤΥΠΑΛΑΙΑ,2020-08-10T00:00:00Z,33.497
ΜΕΓΙΣΤΗ,2020-08-10T00:00:00Z,13.987
ΑΝΑΦΗ,2020-08-10T00:00:00Z,7.724
ΑΓ. ΕΥΣΤΡΑΤΙΟΣ,2020-08-10T00:00:00Z,4.656000000000001
ΕΡΕΙΚΟΥΣΑ,2020-08-10T00:00:00Z,5.111000000000001
ΟΘΩΝΟΙ,2020-08-10T00:00:00Z,3.04
ΔΟΝΟΥΣΑ,2020-08-10T00:00:00Z,6.185
ΑΓΑΘΟΝΗΣΙ,2020-08-10T00:00:00Z,3.326
ΓΑΥΔΟΣ,2020-08-10T00:00:00Z,2.114
ΑΡΚΙΟΙ,2020-08-10T00:00:00Z,2.025
ΑΝΤΙΚΥΘΗΡΑ,2020-08-10T00:00:00Z,0.9570000000000001
ΚΡΗΤΗ,2020-08-11T00:00:00Z,11394.48
ΡΟΔΟΣ,2020-08-11T00:00:00Z,2766.6
ΛΕΣΒΟΣ,2020-08-11T00:00:00Z,939.192
ΚΩΣ - ΚΑΛΥΜΝΟΣ,2020-08-11T00:00:00Z,1276.51
ΧΙΟΣ,2020-08-11T00:00:00Z,646.24
ΣΑΜΟΣ,2020-08-11T00:00:00Z,389.37699999999995
ΘΗΡΑ,2020-08-11T00:00:00Z,693.6560000000001
ΛΗΜΝΟΣ,2020-08-11T00:00:00Z,219.11599999999999
ΜΗΛΟΣ,2020-08-11T00:00:00Z,205.385
ΚΑΡΠΑΘΟΣ,2020-08-11T00:00:00Z,131.017
ΙΚΑΡΙΑ,2020-08-11T00:00:00Z,106.77799999999999
ΣΙΦΝΟΣ,2020-08-11T00:00:00Z,93.001
ΠΑΤΜΟΣ,2020-08-11T00:00:00Z,79.109
ΣΚΥΡΟΣ,2020-08-11T00:00:00Z,64.846
ΣΥΜΗ,2020-08-11T00:00:00Z,54.65
ΑΜΟΡΓΟΣ,2020-08-11T00:00:00Z,46.95399999999999
ΣΕΡΙΦΟΣ,2020-08-11T00:00:00Z,49.461999999999996
ΚΥΘΝΟΣ,2020-08-11T00:00:00Z,47.323
ΑΣΤΥΠΑΛΑΙΑ,2020-08-11T00:00:00Z,32.476
ΜΕΓΙΣΤΗ,2020-08-11T00:00:00Z,14.037
ΑΝΑΦΗ,2020-08-11T00:00:00Z,7.84
ΑΓ. ΕΥΣΤΡΑΤΙΟΣ,2020-08-11T00:00:00Z,4.593999999999999
ΕΡΕΙΚΟΥΣΑ,2020-08-11T00:00:00Z,5.012
ΟΘΩΝΟΙ,2020-08-11T00:00:00Z,3.0580000000000003
ΔΟΝΟΥΣΑ,2020-08-11T00:00:00Z,5.98
ΑΓΑΘΟΝΗΣΙ,2020-08-11T00:00:00Z,3.355
ΓΑΥΔΟΣ,2020-08-11T00:00:00Z,2.147
ΑΡΚΙΟΙ,2020-08-11T00:00:00Z,1.9580000000000002
ΑΝΤΙΚΥΘΗΡΑ,2020-08-11T00:00:00Z,1.061
ΚΡΗΤΗ,2020-08-12T00:00:00Z,10467.69
ΡΟΔΟΣ,2020-08-12T00:00:00Z,2775.3
ΛΕΣΒΟΣ,2020-08-12T00:00:00Z,949.112
ΚΩΣ - ΚΑΛΥΜΝΟΣ,2020-08-12T00:00:00Z,1309.45
ΧΙΟΣ,2020-08-12T00:00:00Z,654.4
ΣΑΜΟΣ,2020-08-12T00:00:00Z,413.76
ΘΗΡΑ,2020-08-12T00:00:00Z,708.437
ΛΗΜΝΟΣ,2020-08-12T00:00:00Z,221.68
ΜΗΛΟΣ,2020-08-12T00:00:00Z,210.41099999999997
ΚΑΡΠΑΘΟΣ,2020-08-12T00:00:00Z,130.531
ΙΚΑΡΙΑ,2020-08-12T00:00:00Z,108.434
ΣΙΦΝΟΣ,2020-08-12T00:00:00Z,95.486
ΠΑΤΜΟΣ,2020-08-12T00:00:00Z,79.869
ΣΚΥΡΟΣ,2020-08-12T00:00:00Z,66.896
ΣΥΜΗ,2020-08-12T00:00:00Z,53.403
ΑΜΟΡΓΟΣ,2020-08-12T00:00:00Z,46.714
ΣΕΡΙΦΟΣ,2020-08-12T00:00:00Z,50.876000000000005
ΚΥΘΝΟΣ,2020-08-12T00:00:00Z,48.661
ΑΣΤΥΠΑΛΑΙΑ,2020-08-12T00:00:00Z,33.998000000000005
ΜΕΓΙΣΤΗ,2020-08-12T00:00:00Z,15.04
ΑΝΑΦΗ,2020-08-12T00:00:00Z,7.813
ΑΓ. ΕΥΣΤΡΑΤΙΟΣ,2020-08-12T00:00:00Z,4.632
ΕΡΕΙΚΟΥΣΑ,2020-08-12T00:00:00Z,4.971
ΟΘΩΝΟΙ,2020-08-12T00:00:00Z,3.1860000000000004
ΔΟΝΟΥΣΑ,2020-08-12T00:00:00Z,5.978
ΑΓΑΘΟΝΗΣΙ,2020-08-12T00:00:00Z,3.252
ΓΑΥΔΟΣ,2020-08-12T00:00:00Z,2.22
ΑΡΚΙΟΙ,2020-08-12T00:00:00Z,2.133
ΑΝΤΙΚΥΘΗΡΑ,2020-08-12T00:00:00Z,1.084
ΚΡΗΤΗ,2020-08-13T00:00:00Z,10784.13
ΡΟΔΟΣ,2020-08-13T00:00:00Z,2895.8
ΛΕΣΒΟΣ,2020-08-13T00:00:00Z,966.547
ΚΩΣ - ΚΑΛΥΜΝΟΣ,2020-08-13T00:00:00Z,1321.004
ΧΙΟΣ,2020-08-13T00:00:00Z,690.94
ΣΑΜΟΣ,2020-08-13T00:00:00Z,420.07800000000003
ΘΗΡΑ,2020-08-13T00:00:00Z,719.449
ΛΗΜΝΟΣ,2020-08-13T00:00:00Z,225.24599999999998
ΜΗΛΟΣ,2020-08-13T00:00:00Z,208.97099999999998
ΚΑΡΠΑΘΟΣ,2020-08-13T00:00:00Z,133.731
ΙΚΑΡΙΑ,2020-08-13T00:00:00Z,117.647
ΣΙΦΝΟΣ,2020-08-13T00:00:00Z,97.678
ΠΑΤΜΟΣ,2020-08-13T00:00:00Z,80.743
ΣΚΥΡΟΣ,2020-08-13T00:00:00Z,68.741
ΣΥΜΗ,2020-08-13T00:00:00Z,58.382
ΑΜΟΡΓΟΣ,2020-08-13T00:00:00Z,47.526
ΣΕΡΙΦΟΣ,2020-08-13T00:00:00Z,51.532
ΚΥΘΝΟΣ,2020-08-13T00:00:00Z,49.033
ΑΣΤΥΠΑΛΑΙΑ,2020-08-13T00:00:00Z,31.463
ΜΕΓΙΣΤΗ,2020-08-13T00:00:00Z,15.242
ΑΝΑΦΗ,2020-08-13T00:00:00Z,7.952000000000001
ΑΓ. ΕΥΣΤΡΑΤΙΟΣ,2020-08-13T00:00:00Z,4.573
ΕΡΕΙΚΟΥΣΑ,2020-08-13T00:00:00Z,5.096
ΟΘΩΝΟΙ,2020-08-13T00:00:00Z,3.385
ΔΟΝΟΥΣΑ,2020-08-13T00:00:00Z,5.974
ΑΓΑΘΟΝΗΣΙ,2020-08-13T00:00:00Z,3.096
ΓΑΥΔΟΣ,2020-08-13T00:00:00Z,2.17
ΑΡΚΙΟΙ,2020-08-13T00:00:00Z,2.128
ΑΝΤΙΚΥΘΗΡΑ,2020-08-13T00:00:00Z,1.034
ΚΡΗΤΗ,2020-08-14T00:00:00Z,10600.0
ΡΟΔΟΣ,2020-08-14T00:00:00Z,2916.3
ΛΕΣΒΟΣ,2020-08-14T00:00:00Z,939.6139999999999
ΚΩΣ - ΚΑΛΥΜΝΟΣ,2020-08-14T00:00:00Z,1402.22
ΧΙΟΣ,2020-08-14T00:00:00Z,674.11
ΣΑΜΟΣ,2020-08-14T00:00:00Z,418.774
ΘΗΡΑ,2020-08-14T00:00:00Z,732.502
ΛΗΜΝΟΣ,2020-08-14T00:00:00Z,243.378
ΜΗΛΟΣ,2020-08-14T00:00:00Z,203.16
ΚΑΡΠΑΘΟΣ,2020-08-14T00:00:00Z,136.995
ΙΚΑΡΙΑ,2020-08-14T00:00:00Z,108.17
ΣΙΦΝΟΣ,2020-08-14T00:00:00Z,96.20299999999999
ΠΑΤΜΟΣ,2020-08-14T00:00:00Z,80.33
ΣΚΥΡΟΣ,2020-08-14T00:00:00Z,69.697
ΣΥΜΗ,2020-08-14T00:00:00Z,60.614
ΑΜΟΡΓΟΣ,2020-08-14T00:00:00Z,47.6
ΣΕΡΙΦΟΣ,2020-08-14T00:00:00Z,51.951
ΚΥΘΝΟΣ,2020-08-14T00:00:00Z,53.01
ΑΣΤΥΠΑΛΑΙΑ,2020-08-14T00:00:00Z,33.12
ΜΕΓΙΣΤΗ,2020-08-14T00:00:00Z,16.505
ΑΝΑΦΗ,2020-08-14T00:00:00Z,7.8870000000000005
ΑΓ. ΕΥΣΤΡΑΤΙΟΣ,2020-08-14T00:00:00Z,4.636
ΕΡΕΙΚΟΥΣΑ,2020-08-14T00:00:00Z,5.261
ΟΘΩΝΟΙ,2020-08-14T00:00:00Z,3.556
ΔΟΝΟΥΣΑ,2020-08-14T00:00:00Z,6.202000000000001
