domestic,incident,international,year
12,ΑΓΝΟΟΥΜΕΝΟ ΣΚΑΦΟΣ,0,2016
5,ΑΝΕΥΡΕΣΗ ΣΚΑΦΟΥΣ ΧΩΡΙΣ ΕΠΙΒΑΙΝΟΝΤΕΣ,0,2016
53,ΑΓΝΟΟΥΜΕΝΟΣ ΚΟΛΥΜΒΗΤΗΣ/ΨΑΡΟΝΤΟΥΦΕΚΑΣ,0,2016
149,ΑΚΥΒΕΡΝΗΣΙΑ,3,2016
24,ΑΝΘΡΩΠΟΣ ΣΤΗ ΘΑΛΑΣΣΑ ΑΠΌ ΠΛΟΙΟ,0,2016
8,ΒΥΘΙΣΗ,0,2016
17,ΕΙΣΡΟΗ ΥΔΑΤΩΝ,0,2016
2,ΕΓΚΑΤΑΛΕΙΨΗ ΣΚΑΦΟΥΣ,0,2016
70,ΜΕΤΑΦΟΡΑ ΑΣΘΕΝΗ/ΤΡΑΥΜΑΤΙΑ (ΑΠΌ ΠΛΟΙΟ),5,2016
159,ΜΗΧΑΝΙΚΗ ΒΛΑΒΗ,3,2016
92,ΠΡΟΣΑΡΑΞΗ,0,2016
18,ΠΡΟΣΚΡΟΥΣΗ,1,2016
40,ΠΛΟΙΟ/ΣΚΑΦΟΣ ΣΕ ΔΥΣΧΕΡΗ ΘΕΣΗ,0,2016
6,ΠΥΡΚΑΪΑ,0,2016
18,ΣΥΓΚΡΟΥΣΗ,3,2016
0,ΕΥΡΗΜΑΤΑ ΝΑΥΑΓΙΟΥ,0,2016
58,ΦΩΤΙΣΤΙΚΑ ΣΗΜΑΤΑ ΚΙΝΔΥΝΟΥ,0,2016
1112,ΠΑΡΑΝΟΜΑ ΕΙΣΕΡΧΟΜΕΝΑ ΠΡΟΣΩΠΑ,126,2016
93,ΚΑΤΑΓΓΕΛΙΕΣ,0,2016
53,ΝΑΥΤΙΛΙΑΚΟΣ ΚΙΝΔΥΝΟΣ,0,2016
84,ΔΙΑΦΟΡΑ,4,2016
58,ΕΚΠΟΜΠΕΣ COSPAS/SARSAT,33,2016
18,ΑΣΥΡΜΑΤΕΣ ΕΚΠΟΜΠΕΣ,5,2016
10,ΑΓΝΟΟΥΜΕΝΟ ΣΚΑΦΟΣ/ΛΕΜΒΟΣ,3,2017
4,ΑΝΕΥΡΕΣΗ ΣΚΑΦΟΥΣ ΧΩΡΙΣ ΕΠΙΒΑΙΝΟΝΤΕΣ,0,2017
41,ΑΓΝΟΟΥΜΕΝΟΣ ΚΟΛΥΜΒΗΤΗΣ/ΔΥΤΗΣ/ΑΛΙΕΑΣ ,0,2017
153,ΑΚΥΒΕΡΝΗΣΙΑ,2,2017
11,ΑΝΘΡΩΠΟΣ ΣΤΗ ΘΑΛΑΣΣΑ ΑΠΌ ΠΛΟΙΟ,2,2017
14,ΒΥΘΙΣΗ,0,2017
19,ΕΙΣΡΟΗ ΥΔΑΤΩΝ,0,2017
3,ΕΓΚΑΤΑΛΕΙΨΗ ΣΚΑΦΟΥΣ,0,2017
95,ΜΕΤΑΦΟΡΑ ΑΣΘΕΝΗ/ΤΡΑΥΜΑΤΙΑ (ΑΠΌ ΠΛΟΙΟ),6,2017
152,ΜΗΧΑΝΙΚΗ ΒΛΑΒΗ,1,2017
96,ΠΡΟΣΑΡΑΞΗ,1,2017
14,ΠΡΟΣΚΡΟΥΣΗ,0,2017
25,ΠΛΟΙΟ/ΣΚΑΦΟΣ ΣΕ ΔΥΣΧΕΡΗ ΘΕΣΗ,2,2017
12,ΠΥΡΚΑΪΑ,0,2017
18,ΣΥΓΚΡΟΥΣΗ,1,2017
1,ΕΥΡΗΜΑΤΑ ΝΑΥΑΓΙΟΥ,0,2017
61,ΦΩΤΙΣΤΙΚΑ ΣΗΜΑΤΑ ΚΙΝΔΥΝΟΥ,0,2017
402,ΠΑΡΑΝΟΜΑ ΕΙΣΕΡΧΟΜΕΝΑ ΠΡΟΣΩΠΑ,146,2017
16,ΚΑΤΑΓΓΕΛΙΕΣ,0,2017
77,ΝΑΥΤΙΛΙΑΚΟΣ ΚΙΝΔΥΝΟΣ,0,2017
101,ΔΙΑΦΟΡΑ,6,2017
38,ΕΚΠΟΜΠΕΣ COSPAS/SARSAT,33,2017
23,ΑΣΥΡΜΑΤΕΣ ΕΚΠΟΜΠΕΣ,3,2017
12,ΑΓΝΟΟΥΜΕΝΟ ΣΚΑΦΟΣ/ΛΕΜΒΟΣ,2,2018
23,ΑΝΕΥΡΕΣΗ ΣΚΑΦΟΥΣ ΧΩΡΙΣ ΕΠΙΒΑΙΝΟΝΤΕΣ,0,2018
41,ΑΓΝΟΟΥΜΕΝΟΣ ΚΟΛΥΜΒΗΤΗΣ/ΔΥΤΗΣ/ΑΛΙΕΑΣ ,1,2018
131,ΑΚΥΒΕΡΝΗΣΙΑ,3,2018
23,ΑΝΘΡΩΠΟΣ ΣΤΗ ΘΑΛΑΣΣΑ ΑΠΌ ΠΛΟΙΟ,4,2018
13,ΒΥΘΙΣΗ,0,2018
13,ΕΙΣΡΟΗ ΥΔΑΤΩΝ,1,2018
0,ΕΓΚΑΤΑΛΕΙΨΗ ΣΚΑΦΟΥΣ,0,2018
79,ΜΕΤΑΦΟΡΑ ΑΣΘΕΝΗ/ΤΡΑΥΜΑΤΙΑ (ΑΠΌ ΠΛΟΙΟ),4,2018
167,ΜΗΧΑΝΙΚΗ ΒΛΑΒΗ,3,2018
91,ΠΡΟΣΑΡΑΞΗ,1,2018
11,ΠΡΟΣΚΡΟΥΣΗ,0,2018
26,ΠΛΟΙΟ/ΣΚΑΦΟΣ ΣΕ ΔΥΣΧΕΡΗ ΘΕΣΗ,0,2018
13,ΠΥΡΚΑΪΑ,1,2018
15,ΣΥΓΚΡΟΥΣΗ,1,2018
0,ΕΥΡΗΜΑΤΑ ΝΑΥΑΓΙΟΥ,0,2018
82,ΦΩΤΙΣΤΙΚΑ ΣΗΜΑΤΑ ΚΙΝΔΥΝΟΥ,2,2018
489,ΠΑΡΑΝΟΜΑ ΕΙΣΕΡΧΟΜΕΝΑ ΠΡΟΣΩΠΑ,115,2018
0,ΚΑΤΑΓΓΕΛΙΕΣ,0,2018
70,ΝΑΥΤΙΛΙΑΚΟΣ ΚΙΝΔΥΝΟΣ,0,2018
200,ΔΙΑΦΟΡΑ,9,2018
75,ΕΚΠΟΜΠΕΣ COSPAS/SARSAT,45,2018
25,ΑΣΥΡΜΑΤΕΣ ΕΚΠΟΜΠΕΣ,9,2018
11,ΑΓΝΟΟΥΜΕΝΟ ΣΚΑΦΟΣ/ΛΕΜΒΟΣ,4,2019
16,ΑΝΕΥΡΕΣΗ ΣΚΑΦΟΥΣ ΧΩΡΙΣ ΕΠΙΒΑΙΝΟΝΤΕΣ,0,2019
36,ΑΓΝΟΟΥΜΕΝΟΣ ΚΟΛΥΜΒΗΤΗΣ/ΔΥΤΗΣ/ΑΛΙΕΑΣ ,0,2019
129,ΑΚΥΒΕΡΝΗΣΙΑ,1,2019
14,ΑΝΘΡΩΠΟΣ ΣΤΗ ΘΑΛΑΣΣΑ ΑΠΌ ΠΛΟΙΟ,2,2019
9,ΒΥΘΙΣΗ,0,2019
22,ΕΙΣΡΟΗ ΥΔΑΤΩΝ,0,2019
1,ΕΓΚΑΤΑΛΕΙΨΗ ΣΚΑΦΟΥΣ,0,2019
77,ΜΕΤΑΦΟΡΑ ΑΣΘΕΝΗ/ΤΡΑΥΜΑΤΙΑ (ΑΠΌ ΠΛΟΙΟ),4,2019
186,ΜΗΧΑΝΙΚΗ ΒΛΑΒΗ,2,2019
88,ΠΡΟΣΑΡΑΞΗ,0,2019
6,ΠΡΟΣΚΡΟΥΣΗ,0,2019
42,ΠΛΟΙΟ/ΣΚΑΦΟΣ/ΛΕΜΒΟΣ ΣΕ ΔΥΣΧΕΡΗ ΘΕΣΗ,3,2019
7,ΠΥΡΚΑΪΑ,1,2019
17,ΣΥΓΚΡΟΥΣΗ,2,2019
0,ΕΥΡΗΜΑΤΑ ΝΑΥΑΓΙΟΥ,0,2019
