avg_in,avg_out,date,max_in,max_out
47718234048,47719270880,2019-10-18T00:00:00Z,47718234048,47719270880
50041621944,50041177368,2019-10-19T00:00:00Z,50041621944,50041177368
46674203120,46673535896,2019-10-20T00:00:00Z,46674203120,46673535896
43633143080,43633471848,2019-10-21T00:00:00Z,43633143080,43633471848
45490987616,45492866856,2019-10-22T00:00:00Z,45490987616,45492866856
48537883704,48535824416,2019-10-23T00:00:00Z,48537883704,48535824416
50032605400,50033369584,2019-10-24T00:00:00Z,50032605400,50033369584
50534897032,50535316352,2019-10-25T00:00:00Z,50534897032,50535316352
50796202248,50795457192,2019-10-26T00:00:00Z,50796202248,50795457192
49266910768,49266994496,2019-10-27T00:00:00Z,49266910768,49266994496
49289130080,49287095320,2019-10-28T00:00:00Z,49289130080,49287095320
46705655112,46706609672,2019-10-29T00:00:00Z,46705655112,46706609672
55803541128,55803373944,2019-10-30T00:00:00Z,55803541128,55803373944
53705723896,53706987736,2019-10-31T00:00:00Z,53705723896,53706987736
51562201792,51564367200,2019-11-01T00:00:00Z,51562201792,51564367200
52016475208,52018044456,2019-11-02T00:00:00Z,52016475208,52018044456
49154464248,49155646344,2019-11-03T00:00:00Z,49154464248,49155646344
52588016648,52588590224,2019-11-04T00:00:00Z,52588016648,52588590224
54697532568,54699548056,2019-11-05T00:00:00Z,54697532568,54699548056
50389380600,50390991440,2019-11-06T00:00:00Z,50389380600,50390991440
52981335288,52977308496,2019-11-07T00:00:00Z,52981335288,52977308496
50168159056,50170747872,2019-11-08T00:00:00Z,50168159056,50170747872
50256026448,50258677432,2019-11-09T00:00:00Z,50256026448,50258677432
49630641248,49631697792,2019-11-10T00:00:00Z,49630641248,49631697792
51728313536,51729383960,2019-11-11T00:00:00Z,51728313536,51729383960
50464224448,50469955088,2019-11-12T00:00:00Z,50464224448,50469955088
51279527576,51283720552,2019-11-13T00:00:00Z,51279527576,51283720552
51471933376,51475976992,2019-11-14T00:00:00Z,51471933376,51475976992
48579989752,48586533832,2019-11-15T00:00:00Z,48579989752,48586533832
50399204440,50403415040,2019-11-16T00:00:00Z,50399204440,50403415040
45562257392,45564966848,2019-11-17T00:00:00Z,45562257392,45564966848
45549980720,45553849512,2019-11-18T00:00:00Z,45549980720,45553849512
47802978688,47810568896,2019-11-19T00:00:00Z,47802978688,47810568896
48927053896,48931544680,2019-11-20T00:00:00Z,48927053896,48931544680
51055052096,51060158592,2019-11-21T00:00:00Z,51055052096,51060158592
51255579864,51261441568,2019-11-22T00:00:00Z,51255579864,51261441568
51104757432,51106595704,2019-11-23T00:00:00Z,51104757432,51106595704
48764906968,48768103232,2019-11-24T00:00:00Z,48764906968,48768103232
50631299296,50636335472,2019-11-25T00:00:00Z,50631299296,50636335472
51557964288,51567646104,2019-11-26T00:00:00Z,51557964288,51567646104
53617698264,53619445232,2019-11-27T00:00:00Z,53617698264,53619445232
52427540376,52435327400,2019-11-28T00:00:00Z,52427540376,52435327400
53041639144,53044115288,2019-11-29T00:00:00Z,53041639144,53044115288
51476426880,51483267992,2019-11-30T00:00:00Z,51476426880,51483267992
51236959816,51227628504,2019-12-01T00:00:00Z,51236959816,51227628504
51737027448,51738928568,2019-12-02T00:00:00Z,51737027448,51738928568
48328811024,48249688824,2019-12-03T00:00:00Z,48328811024,48249688824
49588600816,49597945704,2019-12-04T00:00:00Z,49588600816,49597945704
51275304128,51284600888,2019-12-05T00:00:00Z,51275304128,51284600888
49904711680,48574915784,2019-12-06T00:00:00Z,49904711680,48574915784
