address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,fire_station,fire_trucks,firefighters,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
,0.0,,,,,,0.0,0.0,2000-06-25T00:20:00,Π.Υ. ΧΑΛΚΙΔΑΣ,,,0.0,ΧΑΛΚΙΔΑΣ,0.0,,,ΑΓ.ΝΙΚΟΛΑΟΣ ΠΟΛΙΤΙΚΩΝ ΜΕΣΣΑΠΙΩΝ,0.0,,,,ΕΥΒΟΙΑΣ,2000-06-25T00:00:00,0.0,,,,0.0
,0.2,,,,,,50.0,0.0,2000-10-02T20:10:00,Π.Υ. ΦΛΩΡΙΝΑΣ,,,0.0,ΦΛΩΡΙΝΑΣ,0.0,,,ΔΗΜΟΣ  ΜΕΛΙΤΗ,0.0,,,,ΦΛΩΡΙΝΑΣ,2000-10-02T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2001-03-08T02:30:00,Π.Υ. ΧΑΛΚΙΔΑΣ,,,1.0,ΧΑΛΚΙΔΑΣ,0.0,,,ΛΟΥΤΣΑ-ΔΙΡΦΥΩΝ,0.0,,,,ΕΥΒΟΙΑΣ,2001-03-08T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.2,2001-06-22T01:10:00,Π.Υ. ΑΜΦΙΣΣΑΣ,,,0.0,ΑΜΦΙΣΣΑΣ,0.0,,,ΣΚΟΥΠΙΔΟΤΟΠΟΣ ΧΡΙΣΣΟΥ,0.0,,,,ΦΩΚΙΔΟΣ,2001-06-22T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.5,2001-07-05T12:15:00,Π.Υ. ΚΟΡΙΝΘΟΥ,,,0.0,ΚΟΡΙΝΘΟΥ,0.0,,,ΑΘΙΚΙΑ,0.0,,,,ΚΟΡΙΝΘΙΑΣ,2001-07-05T00:00:00,0.0,,,,0.0
,3.0,,,,,,0.0,0.0,2001-08-01T08:00:00,Π.Υ. ΧΑΛΚΙΔΑΣ,,,0.0,ΧΑΛΚΙΔΑΣ,0.0,,,ΜΑΓΟΥΛΑ ΕΡΕΤΡΙΑΣ,0.0,,,,ΕΥΒΟΙΑΣ,2001-08-01T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.1,2001-08-06T02:40:00,Π.Υ. ΚΟΡΙΝΘΟΥ,,,0.0,ΚΟΡΙΝΘΟΥ,0.0,,,ΚΟΡΙΝΘΟΣ ΤΕΝΕΑΣ ΣΤΕΦΑΝΙΟΥ,0.0,,,,ΚΟΡΙΝΘΙΑΣ,2001-08-06T00:00:00,0.0,,,,0.0
,100.0,,,,,,0.0,0.0,2001-09-25T00:10:00,Π.Κ. ΛΗΞΟΥΡΙΟΥ,,,0.0,,0.0,,,ΛΗΞΟΥΡΙΟΝ,0.0,,,,ΚΕΦΑΛΛΟΝΙΑΣ,2001-09-25T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2001-09-29T00:15:00,Π.Κ. ΛΗΞΟΥΡΙΟΥ,,,0.0,,0.0,,,ΛΗΞΟΥΡΙΟΝ,100.0,,,,ΚΕΦΑΛΛΟΝΙΑΣ,2001-09-29T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2001-10-12T15:00:00,Π.Υ. ΑΡΤΑΣ,,,0.0,ΑΜΦΙΛΟΧΙΑΣ,0.0,,,ΑΡΤΑ,0.0,,,,ΑΡΤΑΣ,2001-10-12T00:00:00,0.0,,,,0.1
,0.0,,,,,,0.0,0.0,2001-10-31T12:20:00,Π.Υ. ΣΕΡΡΩΝ,,,0.0,ΣΕΡΡΩΝ,0.0,,,ΠΕΔΙΟ ΒΟΛΗΣ Δ.Δ ΜΕΛΕΝΕΚΙΤΣΙΟΥ,1.0,,,,ΣΕΡΡΩΝ,2001-10-31T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.1,0.0,2003-08-10T14:42:00,Π.Υ. ΝΑΥΠΛΙΟΥ,,,0.0,,0.0,,,ΝΑΥΠΛΙΟΝ,0.0,,,,ΑΡΓΟΛΙΔΟΣ,2003-08-10T00:00:00,0.0,,,,0.0
