accident_type,burns,damages,deaths,end_time,fire_station,fire_trucks,fire_vessels,firefighters,incident,incident_detail,injuries,location_description,municipality,people_involved,prefecture,start_time,village
,0,0,0,,Π.Υ. ΑΡΓΟΣΤΟΛΙΟΥ,1,,3, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΧΩΡΟΙ ΑΠΟΡΡΙΜΑΤΩΝ                       ,Δ. ΚΕΦΑΛΛΟΝΙΑΣ,1,ΚΕΦΑΛΛΟΝΙΑΣ,2014-01-09T00:00:00,ΚΑΡΑΒΑΔΟΣ
,0,0,0,,1ος  Π.Σ. ΧΑΝΙΩΝ,2,,4, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΔΙΠΛΟΚΑΤΟΙΚΙΕΣ                          ,Δ. ΧΑΝΙΩΝ,1,ΧΑΝΙΩΝ,2014-01-29T00:00:00,
,0,0,0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,2,,5, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΔΙΠΛΟΚΑΤΟΙΚΙΕΣ                          ,Δ. ΛΑΡΙΣΑΙΩΝ,1,ΛΑΡΙΣΑΣ,2014-02-21T00:00:00,
,0,0,0,, 7ος Π.Σ. ΑΘΗΝΩΝ,2,,6, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΑΡΧΑΙΟΛΟΓΙΚΟΙ ΧΩΡΟΙ                     ,Δ. ΑΛΙΜΟΥ,1,ΑΤΤΙΚΗΣ,2014-03-04T00:00:00,
,0,0,0,,1ος  Π.Σ. ΠΑΤΡΩΝ,1,,2, ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΝΤΛΗΣΗ ΝΕΡΟΥ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΠΑΤΡΕΩΝ,1,ΑΧΑΙΑΣ,2014-03-08T00:00:00,
,0,0,0,,3ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,,2, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΕΖΟΔΡΟΜΙΑ                              ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2014-03-09T00:00:00,
,0,0,0,2014-03-15T01:20:00, 6ος Π.Σ. ΑΘΗΝΩΝ,2,,9, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΑΥΤΟΚΙΝΗΤΑ                              ,Δ. ΑΧΑΡΝΩΝ,1,ΑΤΤΙΚΗΣ,2014-03-15T00:00:00,ΑΧΑΡΝΑΙ
,0,0,0,2014-03-16T00:35:00,10ος Π.Σ. ΑΘΗΝΩΝ,,,, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΔΟΣ                                    ,Δ. ΧΑΪΔΑΡΙΟΥ,1,ΑΤΤΙΚΗΣ,2014-03-15T00:00:00,ΧΑΙΔΑΡΙ
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,1ος  Π.Σ. ΠΑΤΡΩΝ,1,,3, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΠΑΤΡΕΩΝ,1,ΑΧΑΙΑΣ,2014-03-16T00:00:00,
,0,0,0,, 4ος Π.Σ. ΑΘΗΝΩΝ,1,,2, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΡΑΝΟΙ ΟΔΩΝ                             ,Δ. ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,1,ΑΤΤΙΚΗΣ,2014-03-24T00:00:00,
