active,entrants,exits,quarter,year
5050,212,193,Q4,2011
5066,78,62,Q1,2012
5047,52,71,Q2,2012
5039,41,49,Q3,2012
4986,41,94,Q4,2012
5001,68,53,Q1,2013
5015,54,40,Q2,2013
5029,45,31,Q3,2013
5053,42,18,Q4,2013
5008,36,81,Q1,2014
4996,33,45,Q2,2014
4966,25,55,Q3,2014
4924,33,75,Q4,2014
4898,35,61,Q1,2015
4888,33,43,Q2,2015
4861,28,55,Q3,2015
4798,38,101,Q4,2015
4673,29,154,Q1,2016
4581,43,135,Q2,2016
4544,30,67,Q3,2016
4460,31,115,Q4,2016
4419,56,97,Q1,2017
4417,60,62,Q2,2017
4416,60,61,Q3,2017
4388,93,121,Q4,2017
