assistant_professors,associate_professors,full_professors,institution,lecturers,practice_lecturers,practice_professors,year
492,518,586,ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,35,12,0,2019
480,503,662,ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ,31,0,0,2019
93,100,223,ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ,10,0,0,2019
49,47,77,ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,1,0,0,2019
49,58,61,ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,9,9,0,2019
9,14,19,ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,1,0,0,2019
58,49,87,ΠΑΝΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΟΙΝΩΝΙΚΩΝ ΚΑΙ ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,1,0,1,2019
61,39,89,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΩΣ,0,0,0,2019
59,45,92,ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ,2,0,0,2019
205,182,284,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ,17,8,0,2019
167,150,186,ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ,12,14,0,2019
216,171,258,ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ,20,0,0,2019
117,150,169,ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ,3,0,0,2019
21,39,58,ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ,0,0,0,2019
107,88,117,ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ,10,0,0,2019
186,160,249,ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ,8,26,0,2019
66,42,36,ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,3,7,0,2019
23,11,30,ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,1,0,0,2019
80,71,75,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ,5,30,0,2019
40,34,79,ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,17,0,0,2019
141,106,194,ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,36,111,0,2019
15,6,20,ΕΛΛΗΝΙΚΟ ΑΝΟΙΚΤΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,0,0,0,2019
102,91,140,ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΤΗΣ ΕΛΛΑΔΟΣ,1,56,0,2019
43,32,49,ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,10,15,0,2019
10,7,24,ΑΣΠΑΙΤΕ,6,0,1,2019
4,5,0,ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΑΘΗΝΑΣ,0,0,0,2019
3,4,5,ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,0,0,0,2019
3,4,0,ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΒΕΛΛΑΣ ΙΩΑΝΝΙΝΩΝ,0,0,0,2019
6,0,1,ΠΑΤΡΙΑΡΧΙΚΗ ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΚΡΗΤΗΣ,0,0,0,2019
499,525,534,ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,52,0,0,2018
546,493,653,ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ,47,0,0,2018
104,103,232,ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ,13,0,0,2018
53,50,74,ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,2,0,0,2018
46,51,53,ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,13,0,0,2018
10,15,16,ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,1,0,0,2018
56,52,90,ΠΑΝΤΕΙΟ ΠΑΝ/ΜΙΟ,2,0,0,2018
59,36,82,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΑ,0,0,0,2018
63,41,92,ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ,4,0,0,2018
184,163,258,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ,27,0,0,2018
169,123,167,ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ,14,0,0,2018
194,136,191,ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ,25,0,0,2018
132,144,169,ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ,7,0,0,2018
25,36,57,ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ,0,0,0,2018
107,89,110,ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ,11,0,0,2018
156,107,172,ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ,6,0,0,2018
48,32,29,ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,4,0,0,2018
26,11,28,ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,2,0,0,2018
63,31,41,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ,6,0,0,2018
14,26,22,ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,5,0,0,2018
139,96,181,ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,18,103,0,2018
18,8,16,ΕΛΛΗΝΙΚΟ ΑΝΟΙΚΤΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,0,0,0,2018
5,2,0,ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΤΗΣ ΕΛΛΑΔΟΣ,1,0,0,2018
53,45,86,ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ,0,0,33,2018
