active,entrants,exits,quarter,year
5364,4953,2,Q4,2011
5378,45,31,Q1,2012
7676,2298,0,Q2,2012
8164,490,2,Q3,2012
8327,165,2,Q4,2012
8394,68,1,Q1,2013
8420,28,2,Q2,2013
9208,789,1,Q3,2013
9608,4360,3960,Q4,2013
12040,2434,2,Q1,2014
12465,430,5,Q2,2014
12553,88,0,Q3,2014
12625,72,0,Q4,2014
12680,59,4,Q1,2015
12703,25,2,Q2,2015
12707,4,0,Q3,2015
12730,23,0,Q4,2015
12841,111,0,Q1,2016
12990,149,0,Q2,2016
13080,90,0,Q3,2016
13542,463,1,Q4,2016
13921,379,0,Q1,2017
14149,229,1,Q2,2017
14317,168,0,Q3,2017
14578,261,0,Q4,2017
