active,entrants,exits,quarter,year
10223,,,Q4,2011
10328,156,51,Q1,2012
10387,86,27,Q2,2012
10417,59,29,Q3,2012
10412,47,52,Q4,2012
10422,90,80,Q1,2013
10426,65,61,Q2,2013
10428,70,68,Q3,2013
10516,201,113,Q4,2013
10526,80,70,Q1,2014
10514,56,68,Q2,2014
10498,71,87,Q3,2014
10547,128,79,Q4,2014
10556,54,45,Q1,2015
10614,123,65,Q2,2015
10622,45,37,Q3,2015
10619,58,61,Q4,2015
10649,67,37,Q1,2016
10652,60,57,Q2,2016
10669,68,51,Q3,2016
10677,72,64,Q4,2016
10680,55,52,Q1,2017
10678,40,42,Q2,2017
10666,33,45,Q3,2017
10666,32,32,Q4,2017
