active,entrants,exits,quarter,year
5909,,58,Q4,2011
5960,109,0,Q1,2012
6036,76,0,Q2,2012
6172,138,2,Q3,2012
6301,135,6,Q4,2012
6394,96,3,Q1,2013
6494,102,2,Q2,2013
6632,140,2,Q3,2013
10741,,,Q4,2013
10703,105,143,Q1,2014
10786,145,62,Q2,2014
10862,156,80,Q3,2014
10895,196,163,Q4,2014
10911,138,122,Q1,2015
11062,198,47,Q2,2015
11133,136,65,Q3,2015
11190,215,158,Q4,2015
10649,67,37,Q1,2016
10652,60,57,Q2,2016
10669,68,51,Q3,2016
10677,72,64,Q4,2016
10680,55,52,Q1,2017
10678,40,42,Q2,2017
10666,33,45,Q3,2017
10666,32,32,Q4,2017
10644,36,58,Q1,2018
10639,43,48,Q2,2018
10616,30,53,Q3,2018
10587,40,69,Q4,2018
