age_group,count,election_type,electoral_district,year
18-23,18645,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
18-23,6594,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
18-23,7188,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
18-23,5693,βουλευτικές,ΑΡΤΗΣ,2012
18-23,24137,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
18-23,94962,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
18-23,34008,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
18-23,11192,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
18-23,17731,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
18-23,20898,βουλευτικές,ΑΧΑΪΑΣ,2012
18-23,7496,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
18-23,2850,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
18-23,8898,βουλευτικές,ΔΡΑΜΑΣ,2012
18-23,13930,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
18-23,11551,βουλευτικές,ΕΒΡΟΥ,2012
18-23,14225,βουλευτικές,ΕΥΒΟΙΑΣ,2012
18-23,1940,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
18-23,2770,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
18-23,12534,βουλευτικές,ΗΛΕΙΑΣ,2012
18-23,10322,βουλευτικές,ΗΜΑΘΙΑΣ,2012
18-23,19784,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
18-23,4419,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
18-23,36332,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
18-23,22120,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
18-23,10569,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
18-23,10162,βουλευτικές,ΚΑΒΑΛΑΣ,2012
18-23,9475,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
