election_type,electoral_district,municipality,voters_female,voters_male,year
βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,,122450,121056,2012
βουλευτικές,ΑΡΓΟΛΙΔΟΣ,,48473,47101,2012
βουλευτικές,ΑΡΚΑΔΙΑΣ,,66435,66189,2012
βουλευτικές,ΑΡΤΗΣ,,41889,41220,2012
βουλευτικές,Α'ΑΘΗΝΩΝ,,263048,217680,2012
βουλευτικές,Β'ΑΘΗΝΩΝ,,746618,663875,2012
βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,,227166,214778,2012
βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,,108008,94037,2012
βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,,142589,128851,2012
βουλευτικές,ΑΧΑΪΑΣ,,141726,135296,2012
βουλευτικές,ΒΟΙΩΤΙΑΣ,,55165,54761,2012
βουλευτικές,ΓΡΕΒΕΝΩΝ,,21883,22477,2012
βουλευτικές,ΔΡΑΜΑΣ,,60789,57529,2012
βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,,90429,90915,2012
βουλευτικές,ΕΒΡΟΥ,,83060,81683,2012
βουλευτικές,ΕΥΒΟΙΑΣ,,103687,100734,2012
βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,,16252,16681,2012
βουλευτικές,ΖΑΚΥΝΘΟΥ,,21418,20895,2012
βουλευτικές,ΗΛΕΙΑΣ,,89392,88113,2012
βουλευτικές,ΗΜΑΘΙΑΣ,,69706,67166,2012
βουλευτικές,ΗΡΑΚΛΕΙΟΥ,,127161,122565,2012
βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,,30236,30606,2012
βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,,270832,239081,2012
βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,,143756,136146,2012
βουλευτικές,ΙΩΑΝΝΙΝΩΝ,,87952,84703,2012
βουλευτικές,ΚΑΒΑΛΑΣ,,74915,70441,2012
βουλευτικές,ΚΑΡΔΙΤΣΗΣ,,69519,69119,2012
βουλευτικές,ΚΑΣΤΟΡΙΑΣ,,31775,31245,2012
βουλευτικές,ΚΕΡΚΥΡΑΣ,,56020,52549,2012
βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,,28296,27851,2012
βουλευτικές,ΚΙΛΚΙΣ,,54560,52301,2012
βουλευτικές,ΚΟΖΑΝΗΣ,,83126,81983,2012
βουλευτικές,ΚΟΡΙΝΘΙΑΣ,,72124,68092,2012
βουλευτικές,ΚΥΚΛΑΔΩΝ,,62532,60823,2012
βουλευτικές,ΛΑΚΩΝΙΑΣ,,66764,63519,2012
βουλευτικές,ΛΑΡΙΣΗΣ,,127914,122667,2012
βουλευτικές,ΛΑΣΙΘΙΟΥ,,34764,33755,2012
βουλευτικές,ΛΕΣΒΟΥ,,69068,63232,2012
βουλευτικές,ΛΕΥΚΑΔΟΣ,,14776,14714,2012
βουλευτικές,ΜΑΓΝΗΣΙΑΣ,,91676,85232,2012
βουλευτικές,ΜΕΣΣΗΝΙΑΣ,,103368,99244,2012
βουλευτικές,ΞΑΝΘΗΣ,,58649,55444,2012
βουλευτικές,ΠΕΛΛΗΣ,,75698,73596,2012
βουλευτικές,ΠΙΕΡΙΑΣ,,66299,64744,2012
βουλευτικές,ΠΡΕΒΕΖΗΣ,,33557,33807,2012
βουλευτικές,ΡΕΘΥΜΝΗΣ,,35655,34902,2012
βουλευτικές,ΡΟΔΟΠΗΣ,,60941,56865,2012
βουλευτικές,ΣΑΜΟΥ,,26097,25422,2012
βουλευτικές,ΣΕΡΡΩΝ,,120375,117151,2012
βουλευτικές,ΤΡΙΚΑΛΩΝ,,76171,75963,2012
βουλευτικές,ΦΘΙΩΤΙΔΟΣ,,78738,74739,2012
βουλευτικές,ΦΛΩΡΙΝΗΣ,,45681,44489,2012
βουλευτικές,ΦΩΚΙΔΟΣ,,23332,22419,2012
βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,,52622,51001,2012
βουλευτικές,ΧΑΝΙΩΝ,,71379,68611,2012
βουλευτικές,ΧΙΟΥ,,32914,31319,2012
τοπικής αυτοδιοίκηςη,ΔΡΑΜΑΣ,ΔΟΞΑΤΟΥ,10527,9993,2014
τοπικής αυτοδιοίκηςη,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,27054,24729,2014
τοπικής αυτοδιοίκηςη,ΔΡΑΜΑΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,6335,6388,2014
τοπικής αυτοδιοίκηςη,ΔΡΑΜΑΣ,ΠΑΡΑΝΕΣΤΙΟΥ,4698,4529,2014
τοπικής αυτοδιοίκηςη,ΔΡΑΜΑΣ,ΠΡΟΣΟΤΣΑΝΗΣ,12109,11864,2014
τοπικής αυτοδιοίκηςη,ΕΒΡΟΥ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,31446,29733,2014
τοπικής αυτοδιοίκηςη,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ,15423,15374,2014
τοπικής αυτοδιοίκηςη,ΕΒΡΟΥ,ΟΡΕΣΤΙΑΔΑΣ,23080,23350,2014
τοπικής αυτοδιοίκηςη,ΕΒΡΟΥ,ΣΑΜΟΘΡΑΚΗΣ,1998,2119,2014
τοπικής αυτοδιοίκηςη,ΕΒΡΟΥ,ΣΟΥΦΛΙΟΥ,10677,10653,2014
τοπικής αυτοδιοίκηςη,ΘΑΣΟΥ,ΘΑΣΟΥ,7086,6833,2014
τοπικής αυτοδιοίκηςη,ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,35529,32197,2014
τοπικής αυτοδιοίκηςη,ΚΑΒΑΛΑΣ,ΝΕΣΤΟΥ,13624,13235,2014
τοπικής αυτοδιοίκηςη,ΚΑΒΑΛΑΣ,ΠΑΓΓΑΙΟΥ,18639,18220,2014
τοπικής αυτοδιοίκηςη,ΞΑΝΘΗΣ,ΑΒΔΗΡΩΝ,14065,13507,2014
τοπικής αυτοδιοίκηςη,ΞΑΝΘΗΣ,ΜΥΚΗΣ,9806,9818,2014
τοπικής αυτοδιοίκηςη,ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,27021,24634,2014
τοπικής αυτοδιοίκηςη,ΞΑΝΘΗΣ,ΤΟΠΕΙΡΟΥ,8222,8074,2014
τοπικής αυτοδιοίκηςη,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,10560,10102,2014
τοπικής αυτοδιοίκηςη,ΡΟΔΟΠΗΣ,ΙΑΣΜΟΥ,10393,9855,2014
τοπικής αυτοδιοίκηςη,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,28653,26011,2014
τοπικής αυτοδιοίκηςη,ΡΟΔΟΠΗΣ,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,11358,10897,2014
τοπικής αυτοδιοίκηςη,ΗΜΑΘΙΑΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,21659,21219,2014
τοπικής αυτοδιοίκηςη,ΗΜΑΘΙΑΣ,ΒΕΡΟΙΑΣ,30985,29397,2014
τοπικής αυτοδιοίκηςη,ΗΜΑΘΙΑΣ,ΝΑΟΥΣΑΣ,16957,16239,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,19686,17718,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΒΟΛΒΗΣ,13468,12977,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΕΛΤΑ,18543,17966,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΡΜΑΙΚΟΥ,16415,15354,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΡΜΗΣ,18323,17019,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,132497,114265,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΑΛΑΜΑΡΙΑΣ,28321,24789,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΟΡΔΕΛΙΟΥ -ΕΥΟΣΜΟΥ,28625,26492,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΛΑΓΚΑΔΑ,26511,25604,2014
τοπικής αυτοδιοίκηςη,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,34455,30712,2014
