active,entrants,exits,quarter,year
4105,300,355,Q4,2011
4094,85,96,Q1,2012
4128,107,73,Q2,2012
4124,70,74,Q3,2012
4079,60,105,Q4,2012
4107,127,99,Q1,2013
4235,205,77,Q2,2013
4279,122,78,Q3,2013
4328,102,53,Q4,2013
4366,108,70,Q1,2014
4564,265,67,Q2,2014
4638,118,44,Q3,2014
4650,84,72,Q4,2014
4740,143,53,Q1,2015
4862,186,64,Q2,2015
4904,87,45,Q3,2015
4924,94,74,Q4,2015
5007,137,54,Q1,2016
5107,148,48,Q2,2016
5162,111,56,Q3,2016
5170,82,74,Q4,2016
5208,117,79,Q1,2017
5293,149,64,Q2,2017
5356,111,48,Q3,2017
5409,94,41,Q4,2017
5536,179,52,Q1,2018
5699,215,52,Q2,2018
