asofdate,benefits,unemployed
2010-02-01,253490,615286
2010-03-01,271297,620329
2010-04-01,296245,601739
2010-05-01,242108,599728
2010-06-01,207992,572720
2010-07-01,177443,566804
2010-08-01,184709,569742
2010-09-01,189432,569222
2010-10-01,197922,587213
2010-11-01,183161,609249
2010-12-01,206779,627301
2011-01-01,195605,653552
2011-02-01,258285,689558
2011-03-01,280076,692496
2011-04-01,305952,714675
2011-05-01,283995,704818
2011-06-01,222976,685000
2011-07-01,198315,687173
2011-08-01,205534,699658
2011-09-01,212297,693329
2011-10-01,213335,695259
2011-11-01,188092,693417
2011-12-01,213808,715693
2012-01-01,273867,730621
2012-02-01,269235,761769
2012-03-01,283027,770369
2012-04-01,302331,785203
2012-05-01,252998,778399
2012-06-01,216889,776307
2012-07-01,187678,782493
2012-08-01,187273,794924
2012-09-01,201758,787035
2012-10-01,185870,772579
2012-11-01,178565,777768
2012-12-01,214573,786236
2013-01-01,234455,797578
2013-02-01,224610,829787
2013-03-01,230560,855286
2013-04-01,245174,870150
2013-05-01,194909,885314
2013-06-01,158625,876364
2013-07-01,121459,868557
2013-08-01,138142,869193
2013-09-01,145865,861279
2013-10-01,138350,853896
2013-11-01,168205,851600
2013-12-01,131089,858882
2014-01-01,170015,859408
2014-02-01,174178,854659
2014-03-01,157921,857448
2014-04-01,105694,853751
2014-05-01,102026,828299
2014-06-01,94242,814693
2014-07-01,79621,820156
2014-08-01,89850,835282
2014-09-01,111789,835844
2014-10-01,111072,832618
2014-11-01,100399,847843
2014-12-01,120353,854517
2015-01-01,173526,858125
2015-02-01,167537,864377
2015-03-01,153602,864512
2015-04-01,107623,867855
2015-05-01,104888,840216
2015-06-01,83685,809018
2015-07-01,77960,803687
2015-08-01,101257,817787
2015-09-01,106350,815434
2015-10-01,114083,806429
2015-11-01,112489,814798
2015-12-01,128625,844308
2016-01-01,186737,858802
2016-02-01,175278,876752
2016-03-01,162600,894566
2016-04-01,128421,894141
2016-05-01,125254,851596
2016-06-01,73509,821673
2016-07-01,88336,827133
2016-08-01,113394,846000
2016-09-01,117042,896562
2016-10-01,136123,871981
2016-11-01,99426,884331
2016-12-01,118361,913044
2017-01-01,184662,910468
2017-02-01,157015,928962
2017-03-01,178105,936110
2017-04-01,141426,918181
2017-05-01,116085,865209
2017-06-01,93453,830233
2017-07-01,90496,822124
2017-08-01,97818,830465
2017-09-01,107401,827490
2017-10-01,135174,799964
2017-11-01,97268,824517
2017-12-01,123132,864778
2018-01-01,194714,879881
2018-02-01,171131,903303
2018-03-01,191776,898682
2018-04-01,168325,885766
2018-05-01,74354,837270
2018-06-01,114337,804601
2018-07-01,101862,805231
2018-08-01,109434,827854
2018-09-01,135807,841481
2018-10-01,138798,815720
2018-11-01,104636,844710
2018-12-01,154191,898965
2019-01-01,202537,935449
2019-02-01,198712,957532
2019-03-01,203342,949385
2019-04-01,167910,928141
2019-05-01,142431,869334
2019-06-01,104662,842274
2019-07-01,89026,858069
2019-08-01,111990,893310
2019-09-01,138492,888089
2019-10-01,145320,843154
2019-11-01,105165,915516
2019-12-01,154233,1018503
2020-01-01,212468,1064526
2020-02-01,250310,1076134
2020-03-01,233416,1069285
2020-04-01,184242,1071409
2020-05-01,192411,1124486
2020-06-01,178799,1103701
2020-07-01,171521,1068856
2020-08-01,147524,1040852
2020-09-01,143005,1036582
2020-10-01,161270,978895
